title,authors,source,date,database,quote,download
基于Citespace的我国近20年刮痧研究热点及态势的可视化分析,"['陆金裕', '李振东', '杨雷', '张月娟']",护士进修杂志,2021-10-22,期刊,,59

人工智能在幼儿教育领域应用的研究热点与展望——基于CiteSpace知识图谱分析,"['史力玲', '杨凤', '王欢']",早期教育,2021-10-22,期刊,,53

中医舌象特征客观化研究领域科学知识图谱与可视化分析,"['王东军', '杨欢', '田之魁', '孙璇', '周宗慧', '', '朱青青', '关媛媛', '王泓午']",世界科学技术-中医药现代化,2021-10-21,期刊,,63

2010年以来从土地整治到全域整治的热点研究和阶段分析——基于耕地保护视角,"['胡动刚', '蒙萌', '胡思颖', '李雪妍', '鲍泽韩']",华中农业大学学报,2021-10-21,期刊,,169

中医体质知识图谱分析——基于VOSviewer和CiteSpace的计量分析,"['石燕', '何黎', '任秋静', '刘露', '温川飙', '', '孙涛', '罗悦']",世界科学技术-中医药现代化,2021-10-21,期刊,,161

基于2010-2019年SCI数据库文献的罕见病发展态势及前沿热点分析,"['周维军', '吴冬梅', '王淼', '陆兮', '贾艳妮', '', '高阳']",预防医学情报杂志,2021-10-21,期刊,,51

国际人才国内外研究的热点及述评——基于CiteSpace的可视化分析,"['李春浩', '牛雄鹰']",科技与经济,2021-10-20,期刊,,62

基于Cite Space的中国农民工返乡研究知识图谱分析,['门晓菲'],中国集体经济,2021-10-20,期刊,,34

面向地震灾害防治的知识图谱构建方法研究,"['谢炎宏', '王亮', '董春', '康风光']",测绘科学,2021-10-20,期刊,,68

基于知识图谱的我国残疾人文化研究可视化分析,"['李家菊', '冯其斌', '周姊毓', '黄静', '李天琳']",通化师范学院学报,2021-10-20,期刊,,22

资源环境承载力：基于CNKI文献的知识图谱分析,"['王丹阳', '周景阳']",国土资源情报,2021-10-20,期刊,,26

title,authors,source,date,database,quote,download

基于CiteSpace的我国职业教育助推乡村振兴研究知识图谱分析,"['邱亮晶', '万红新', '李祖民']",湖北广播电视大学学报,2021-10-20,期刊,,38

面向海上多节点信息资源管理的知识图谱构建方法,"['何江波', '韩宛彤', '黄继红', '赵恒']",计算机与数字工程,2021-10-20,期刊,,36

中国网红研究的热点关切与反思——基于文献计量学的知识图谱研究,"['方艳', '胡婷婷', '袁誉慧']",新闻爱好者,2021-10-20,期刊,,42

基于CiteSpace的新工科研究知识图谱分析,"['程灏', '刘淑芳', '逯与浩']",中国现代教育装备,2021-10-20,期刊,,7

国际财经传播研究的知识来源、研究主题及对我国的借鉴——基于SSCI期刊10年论文的文献计量学分析,"['潘佳宝', '庞云黠']",未来传播,2021-10-20,期刊,,20

基于CiteSpace的家庭教育发展策略研究,['姚娜'],安康学院学报,2021-10-20,期刊,,46

近10年针灸治疗脑卒中英文文献计量学及可视化分析,"['朱婵', '张强', '韩栩珂', '姚承佼', '刘静', '', '邵明']",中医药临床杂志,2021-10-20,期刊,,15

基于知识图谱的我国高校图书馆个性化推荐研究综述,"['赵衍', '杨喆涵']",上海管理科学,2021-10-20,期刊,,

基于CiteSpace的国内汽车热管理文献可视化分析,"['滕金润', '蔡云']",['四川省第十五届汽车学术年会论文集'],2021-10-20,中国会议,,7

“我国大学生意识形态研究”的进展、热点知识图谱分析,"['高锋', '李佳骏', '胡雅如']",大学,2021-10-20,期刊,,12

中国旅游高质量发展研究热点及趋势分析——基于CiteSpace的知识图谱分析,"['李丽霞', '何彪', '童昀']",华中师范大学学报(自然科学版),2021-10-19,期刊,,744

基于CiteSpace的统一战线学相关理论研究可视化分析,"['沈又红', '黎钰林']",湖南师范大学社会科学学报,2021-10-19,期刊,,129

近十五年我国教师工作坊研究热点与趋势预判研究,"['曾伟', '唐金根']",体育科技文献通报,2021-10-19,期刊,,27

政府购买服务风险研究热点与趋势——基于CiteSpace的知识图谱分析,[],统计与管理,2021-10-19,期刊,,63

基于CiteSpace知识图谱分析的国内外建筑碳排放研究进展,"['蒋梦菊', '张益伊']",['中国环境科学学会2021年科学技术年会论文集（一）'],2021-10-19,中国会议,,

青少年身体活动影响因素研究的知识图谱分析,"['刘昕尧', '严伊苹']",体育科技文献通报,2021-10-18,期刊,,84

基于CiteSpace的中医药治疗IgA肾病知识图谱可视化分析,"['张春辉', '吕静', '郭建仪', '庄晓岩', '张忠胜']",浙江中医杂志,2021-10-16,期刊,,31

面向多源异质数据源的学科知识图谱构建方法,"['李家瑞', '李华昱', '闫阳']",计算机系统应用,2021-10-15,期刊,,60

我国体育产业研究的知识图谱分析,['余容平'],西安文理学院学报(自然科学版),2021-10-15,期刊,,27

我国知识管理研究进展与热点分析——基于CiteSpace V的可视化视角,"['程强', '崔代宇', '刘怡伶']",图书馆工作与研究,2021-10-15,期刊,,237

title,authors,source,date,database,quote,download

国外自适应学习技术研究主题与趋势分析,"['张梦洁', '刘峰', '程薇']",计算机时代,2021-10-15,期刊,,24

国内“区块链+教育”研究的可视化分析——以160篇“区块链+教育”相关的核心期刊论文为样本文献,"['兰丽娜', '吴芬芬', '石瑞生']",现代教育技术,2021-10-15,期刊,,117

近二十年来高校“红色社团”研究的发展与展望——基于CiteSpace知识图谱的分析,"['李铭', '杨萍']",淮南职业技术学院学报,2021-10-15,期刊,,15

常见文献计量学工具的分析功能比较研究,['杨倩'],情报探索,2021-10-15,期刊,,53

基于CiteSpace的国内概念隐喻研究,['张鑫'],黄河水利职业技术学院学报,2021-10-15,期刊,,36

基于知识图谱的我国现行消防法学术研究及应用进展,['宋改芸'],消防界(电子版),2021-10-15,期刊,,3

徽派建筑知识图谱的半自动化构建,"['张润梅', '杨超', '尹蕾', '张媛']",安徽建筑大学学报,2021-10-15,期刊,,15

试论基于知识图谱构建吉林省文旅资源融合平台,['侯国柱'],吉林省教育学院学报,2021-10-15,期刊,,8

我国农民体育研究知识图谱解析及启示,"['侯绪豪', '周君华', '高雅轩', '张锐']",皖西学院学报,2021-10-15,期刊,,13

“双师型”教师研究的可视化分析,['张毛毛'],武汉职业技术学院学报,2021-10-15,期刊,,10

基于CiteSpace的公共实训基地研究热点分析与展望,['韩连权'],常州信息职业技术学院学报,2021-10-15,期刊,,5

基于CiteSpace的国内外城市植物多样性研究对比分析,"['甘玉婷', '倪榕蔚', '舒柳', '李岩林', '黄柳菁']",山东林业科技,2021-10-15,期刊,,16

基于Citespace的国内卓越农林人才培养研究进展,"['张绿水', '刘纯青', '喻雪晴', '李宝勇', '张云']",江西科学,2021-10-15,期刊,,6

企业社会资本的科学知识图谱——基于CSSCI来源期刊,"['李斌', '郑运慧', '马莉丽', '闫凌山']",国土资源科技管理,2021-10-15,期刊,,7

真诚型领导的研究进展及前沿探讨——基于Citespace的知识图谱分析,"['刘芳', '毛亚平']",北方经贸,2021-10-15,期刊,,6

中国体育研究的前沿、热点与发展——基于《体育科学》40年载文的知识图谱分析(1981-2020年),"['黄君洁', '姚菁']",福建体育科技,2021-10-15,期刊,,12

国内学术英语研究热点与趋势——基于CNKI核心期刊的知识图谱分析,"['李为山', '李康熙']",合肥工业大学学报(社会科学版),2021-10-15,期刊,,23

基于CiteSpace的体教融合研究热点及趋势可视化分析,"['向萌', '樊炳有', '李晓鹏']",湖北体育科技,2021-10-15,期刊,,

基于知识图谱的我国体育文化传播研究热点与前沿演进分析,"['冯广', '冉建']",湖北体育科技,2021-10-15,期刊,,

现状·热点·演进：体教融合研究回溯与展望,"['殷明越', '刘骞']",湖北体育科技,2021-10-15,期刊,,

title,authors,source,date,database,quote,download

基于知识图谱下校园足球研究的可视化分析,['曹诗卉'],文体用品与科技,2021-10-15,期刊,,6

中小学校长专业化发展研究——基于2000—2019年CJFD核心期刊来源文献关键词计量分析,['邵玲芝'],中小学校长,2021-10-15,期刊,,

中小学校长领导力研究热点与前沿——基于2004—2020年CNKI引用文献的计量研究,['郎家惠'],中小学校长,2021-10-15,期刊,,

我国职业教育研究的现状、热点与趋势——基于CNKI(1998—2019)核心期刊文献的知识图谱分析,"['滕云', '高铭']",高教论坛,2021-10-14,期刊,,299

中西部教育研究的热点领域与发展趋势——基于CNKI核心数据库文献的可视化知识图谱分析,"['周海涛', '王艺鑫']",西北师大学报(社会科学版),2021-10-12,期刊,,273

基于科学知识图谱的黄河研究演化分析,"['李金铠', '刘守临', '魏伟']",西北大学学报(自然科学版),2021-10-12,期刊,,52

我国职业教育与社区教育融合发展研究综述(2000—2020年)——基于CiteSpace知识图谱分析,"['郑玉清', '刘楚佳']",成人教育,2021-10-12,期刊,,363

我国人工智能教育研究现状、热点与趋势——基于CiteSpace和VOSviewer的可视化分析,"['王全亮', '黄剑华', '彭勇', '王欢', '张小菲']",教育与装备研究,2021-10-12,期刊,,93

我国小学科学教师研究的现状分析——基于CiteSpace可视化分析,"['王寅枚', '胡雨欣', '张洪雁']",现代职业教育,2021-10-11,期刊,,158

基础研究领域知识图谱研究前沿的可视化分析,"['陈雅丹', '杜元', '朱爽', '赵欣然', '孙娜', '', '李心怡', '胡烨胤', '李新龙']",海南医学,2021-10-10,期刊,,76

基于知识图谱的智能包装研究现状与发展趋势分析,"['李祎', '肖敦逸', '吴岳忠', '孙翱魁']",包装工程,2021-10-10,期刊,,66

基于CiteSpace的国内公共卫生事件研究现状与趋势,"['蒋祖存', '徐双敏', '牟珈琪']",黄冈师范学院学报,2021-10-10,期刊,,36

《信阳师范学院学报（自然科学版）》文献计量与知识图谱分析——创刊40周年的回眸与展望,"['牛继强', '程启先', '刘明华', '黄日昌', '张倩']",信阳师范学院学报(自然科学版),2021-10-10,期刊,,13

基于CiteSpace软件的活血解毒中药辨证治疗动脉粥样硬化知识图谱分析,"['张艳', '周庆兵', '徐凤芹']",中西医结合心脑血管病杂志,2021-10-10,期刊,,28

基于CNKI的中医药治疗便秘知识图谱分析,"['潘姣', '肖文洁', '鲍新坤', '孙光军', '林爱珍', '', '周媛媛']",湖北中医杂志,2021-10-10,期刊,,27

知识图谱镜像中的智慧课堂研究——基于2010—2020年CNKI文献的共词分析和社会网络分析,"['李高祥', '李娟', '李刚']",中国教育信息化,2021-10-10,期刊,,50

基于科学文献计量的国内区域创新生态系统的研究进展及趋势分析,"['张坚', '吉欢']",科技管理研究,2021-10-10,期刊,,39

基于CiteSpace的民用无人机国内外研究热点与趋势分析,"['毛秋红', '石聪聪']",科技管理研究,2021-10-10,期刊,,27

基于CiteSpace图谱分析的PPP项目风险演化,"['陈士静', '陈德鹏', '吕忠', '刘果']",项目管理技术,2021-10-10,期刊,,8

STS视域下的传播设计研究——基于CiteSpace科学知识图谱分析,['叶恒'],新闻研究导刊,2021-10-10,期刊,,

title,authors,source,date,database,quote,download

基于知识图谱的巴蜀文化研究分析,['邢宇'],新闻研究导刊,2021-10-10,期刊,,

我国高校体育教学研究热点分析,"['邓艺华', '李国印']",冰雪体育创新研究,2021-10-10,期刊,,13

基于CiteSpaceV的近二十年我国篮球运动技术研究计量学分析,"['朱俊烨', '丁先琼']",冰雪体育创新研究,2021-10-10,期刊,,1

新时代绿色发展重要论述相关研究知识图谱分析,"['王欣蕊', '杨兰', '贾睿东']",合作经济与科技,2021-10-09,期刊,,156

数字人文与档案资源内容挖掘文献综述,"['张伟民', '宋雪雁']",兰台世界,2021-10-06,期刊,,43

基于Citespace的新商科研究热点动态追踪,"['唐光海', '曾慧']",商讯,2021-10-05,期刊,,47

我国乡村振兴的学术研究现状及趋势分析,"['原源', '刘长娥', '程彬彬', '蔡小昂']",上海农业科技,2021-10-05,期刊,,346

基于CiteSpace软件的国内外照顾者心理相关研究现状与趋势对比分析,"['王咪', '林征', '周美景', '顾子君', '孙彩云']",中国医药导报,2021-10-05,期刊,,7

终身学习国际研究的历史脉络与前沿方向——基于WOS数据库50年文献的计量分析,['吴峰'],终身教育研究,2021-10-01,期刊,,67

民族地区脱贫攻坚研究回顾与未来展望——基于CNKI收录文献的计量分析,"['张曦丹', '张曦']",中国西部,2021-10-01,期刊,,26

面向智能搜索应用的水利知识图谱构建,"['高凤宁', '高祥涛', '曹帅', '朱向荣', '司存友', '', '胡伟']",江苏水利,2021-10-01,期刊,,25

自然语言处理在其他学科领域的影响考察——基于CNKI的中文文献挖掘,"['蒋彦廷', '胡韧奋']",情报杂志,2021-09-30,期刊,,393

近十年来华留学生教育研究的知识图谱分析,"['李佳美', '程杰']",成都师范学院学报,2021-09-30,期刊,,156

我国龙眼研究热点及趋势探析——基于知识图谱的可视化分析,"['徐英杰', '胡泽中', '梁诗华', '缪韩彬', '吕建秋']",农产品加工,2021-09-30,期刊,,18

近30年中国情境下权变理论研究知识图谱分析与展望,"['林新奇', '石嘉伟']",宁夏大学学报(人文社会科学版),2021-09-30,期刊,,47

我国职业教育课程开发研究热点的可视化分析,"['范哲超', '米媛婷', '丰洪微']",南宁职业技术学院学报,2021-09-30,期刊,,11

我国健康体适能研究的知识图谱分析——以CNKI中文核心期刊为样本,"['殷跃', '杨燕', '倪新亮']",连云港职业技术学院学报,2021-09-30,期刊,,

话语标记研究热点与发展分析,['肖明'],华中学术,2021-09-30,辑刊,,17

基于科学知识图谱的干旱区城镇化文献计量分析,"['周春山', '陈楷锐', '白克拉木·孜克利亚']",干旱区地理,2021-09-29,期刊,,359

基于CiteSpace的我国营商环境研究重点与趋势的知识图谱分析,"['张秦', '孙长坪']",统计与管理,2021-09-29,期刊,,448

title,authors,source,date,database,quote,download

科学计量学视域下6G信息通信技术研究现状分析,"['李姣姣', '汪卫国', '魏克军']",竞争情报,2021-09-29,期刊,,179

基于CiteSpace对基层群众自治制度的知识图谱分析,"['杨艳', '周真刚']",新疆师范大学学报(哲学社会科学版),2021-09-28,期刊,,390

国际智慧体育的研究现状与趋势,"['郑宇', '高瞻乐', '金毓', '林涛', '房鑫', '', '黄路萍', '袁琼嘉']",成都体育学院学报,2021-09-28,期刊,,471

针灸治疗颈源性头痛知识图谱可视化分析,"['张红', '张永臣', '贾红玲']",中国中医药信息杂志,2021-09-28,期刊,,422

“大智移云”背景下我国管理会计研究现状与热点综述——基于CiteSpace的可视化分析,"['张鲜华', '向桂霖']",重庆文理学院学报(社会科学版),2021-09-28,期刊,1,312

近十年我国医学研究生教育的文献记忆与趋势分析,"['栗彦芳', '苗明三', '白娟', '詹向红', '呼海涛', '', '别荣海']",高教学刊,2021-09-28,期刊,,17

近十年我国学前儿童家庭亲子关系研究述评——基于CiteSpace的知识图谱分析,['丁楠'],教育观察,2021-09-28,期刊,,283

我国幼儿教师观察研究现状与趋势——基于CiteSpace的知识图谱分析(2003—2021),"['王文洁', '杨山松', '舒德荣', '乔添琪']",教育观察,2021-09-28,期刊,,112

建筑工人安全/不安全行为研究的回溯与展望：基于知识图谱分析,"['邓娇娇', '陈晨', '刘洋']",安全与环境工程,2021-09-28,期刊,,363

基于CiteSpace的中医药治疗水肿的可视化分析,"['王迪', '但文超', '何庆勇', '林巧']",世界中西医结合杂志,2021-09-28,期刊,,32

近三十年我国高考研究的热点与趋向——基于1992年以来核心期刊数据的知识图谱分析,"['赵英', '苗婷婷']",教育与考试,2021-09-28,期刊,,17

基于知识图谱的先进制造业研究综述,['何瀚玮'],长江师范学院学报,2021-09-28,期刊,,12

我国近十年校园欺凌研究现状和趋势——基于高频关键词知识图谱分析,"['蒋怀滨', '陈绵绵', '王恬悦', '林婉清', '蒲敏', '', '孙树亮']",集美大学学报(教育科学版),2021-09-28,期刊,,

供应链集中度研究综述——基于文献计量和知识图谱的分析,"['王海芳', '王明涛', '王鑫怡', '马培培', '张笑愚']",会计之友,2021-09-27,期刊,,596

国外社区韧性研究的知识图谱与热点前沿——基于Web of Science(2001—2020年)的可视化分析,['范蕴玉'],温州大学学报(社会科学版),2021-09-27,期刊,,307

基于CiteSpace下足底压力研究可视化分析,"['刘星辰', '谢红', '卢星宇']",皮革科学与工程,2021-09-27,期刊,,137

基于CiteSpace软件的企业固定资产投资项目档案管理研究回顾与分析,"['陈文惠', '王文强']",机电兵船档案,2021-09-27,期刊,,103

体育教师专业发展的热点及趋势研究——基于CiteSpace的知识图谱分析,"['曹利双', '陶玉流']",武术研究,2021-09-26,期刊,,251

基于Citespace的高等院校辅导员核心能力研究领域的知识图谱分析,['李梦雪'],现代职业教育,2021-09-26,期刊,,106

国内外自主创新研究热点分析——基于Citespace的知识图谱分析,"['谢文杰', '刘忠敏', '李欣霖']",经济研究导刊,2021-09-25,期刊,,141

title,authors,source,date,database,quote,download

遥感视角下碳排放文献计量分析,"['陈浩', '许晖', '张伟', '蒲永峰']",测绘标准化,2021-09-25,期刊,,113

改革开放40年我国学校体育的研究进展——基于CiteSpace可视化计量分析,['李奕明'],当代体育科技,2021-09-25,期刊,,36

中国高校教学督导研究：发展历程、问题及趋势——基于1990—2020年CNKI所刊文献可视化分析,"['闫巧', '张广君']",当代教育与文化,2021-09-25,期刊,,102

基于科学知识图谱的国内外训练原则研究差异,['申霖'],哈尔滨体育学院学报,2021-09-25,期刊,,109

基于科学知识图谱的超重或肥胖青少年运动的可视化分析,"['刘付娴', '朱琳', '廖晶']",哈尔滨体育学院学报,2021-09-25,期刊,,140

新媒体出版研究热点知识图谱的可视化分析,"['李爽', '李娜娜', '李杨', '李姗霓', '李银平']",天津科技,2021-09-25,期刊,,20

基于CNKI的国内创客教育研究综述,['张立立'],科技创业月刊,2021-09-25,期刊,,46

网络思想政治教育基础理论研究的现状、热点与展望——基于CNKI期刊文献的计量分析,"['谢玉进', '王苗']",思想教育研究,2021-09-25,期刊,,123

基于CiteSpace和VosViewer的资助育人研究可视化分析,"['唐业喜', '左鑫', '伍招妃']",湖北成人教育学院学报,2021-09-25,期刊,,18

